GAVÀ;10;101657;"Cª. BCN a Sta. Creu Calafell (Av. Bertran i Güell-""Rius i Taulet"")";417005.653;4573016.758;L80;V
GAVÀ;11;101656;"Ctra. de Bcn a Sta. C. de Calafell (""Rambla Lluch""-Serrat)";417179.21;4573237.761;L80;V
VILADECANS;12;100567;"Av. de la Generalitat (Limit Terme Municipal-""Fabrica Roca"")";417534.302;4573692.088;L80;V
VILADECANS;13;100565;"Av. Generalitat (Fabrica Roca-""Agricultura"")";417735.779;4573954.496;L80;V
VILADECANS;14;108665;Av. Generalitat (Noi del Sucre-Cª. de la Vila);417995.745;4574288.322;L80;V
VILADECANS;15;100574;Av. Generalitat (Pl. Europa);418186.637;4574517.676;L80;V
VILADECANS;16;109218;Cª. de la Vila (Jaume Balmes-Forja);418200.314;4574306.194;L80;V
VILADECANS;17;101765;"Ctra. de la Vila (Av. Segle XXI-""Llobatona"")";418397.225;4573959.441;L80;V
VILADECANS;18;101764;"Cª. a Viladecans (Cª. dels Oms-""C. antic Bcn Valencia"")";419227.477;4572742.562;L80;V
VILADECANS;19;104780;Cª. a Viladecans (Davant Can Sabadell);420205.728;4572919.19;L80;V
SANT BOI DE LLOBREGAT;20;107118;Cª. a Viladecans (Davant Cal Balenyà);420788.702;4573142.883;L80;V
SANT BOI DE LLOBREGAT;21;109143;Cª. A Viladecans (Mercat de la Flor);421250.244;4573294.372;L80;V
EL PRAT DE LLOBREGAT;22;104756;Autovia Castelldefels (Av. Onze de Setembre-Montsià);422157.98;4574225.36;L80;V
EL PRAT DE LLOBREGAT;23;109258;Ctra. de Ca l'Alaio (Passat rotonda Av. Remolar);423632.993;4576082.779;L80;V
EL PRAT DE LLOBREGAT;24;107116;"Autovia Castelldefels (""Major""-Mestre J. Ortí)";424182.676;4576451.772;L80;V
L'HOSPITALET DE LLOBREGAT;25;000917;Av. Granvia (Davant Residència Bellvitge Dir.BCN);425346.55;4577377.811;L80;V
L'HOSPITALET DE LLOBREGAT;26;000916;Av. Granvia (Hospital Oncologic);425695.819;4577732.391;L80;V
L'HOSPITALET DE LLOBREGAT;27;000091;"Av. Granvia (""Miguel Hernandez""-Salvador Espriu)";426475.075;4578470.782;L80;V
L'HOSPITALET DE LLOBREGAT;28;002968;"Av. Granvia (""Salvador Espriu""-Av. Joan Carles I)";426721.131;4578712.987;L80;V
L'HOSPITALET DE LLOBREGAT;29;002969;"Av. Granvia (Salvador Espriu- ""Av. Joan Carles I"")";426843.543;4578832.588;L80;V
L'HOSPITALET DE LLOBREGAT;30;000472;"Av. Granvia (""Pl. Europa""-Física)";427017.737;4579001.706;L80;V
